@relation trainset
@attribute Z1 real
@attribute Y1 real
@attribute X1 real
@attribute Z2 real
@attribute Y2 real
@attribute X2 real
@data
-0.45101171, -1.07411914, -0.74126553, -0.39828272, 1.78051305, -0.76870314
-1.04111662, -0.57883456, -0.80685824, -1.23056706, 0.86104354, -0.83635903
-1.35962384, -0.72640206, -0.10787282, -0.85060133, 0.17982485, -1.01127473
-0.94438593, -0.62022953, -0.28682143, -1.15813514, -0.39390766, -1.24421559
-1.22716095, -0.82376635, -0.09324892, -0.70937799, -1.09657152, -1.12971922
-2.08414442, -1.39542896, 0.66391718, 0.37679346, -0.47448126, -0.59799535
-2.05271461, -1.53335247, 0.62019719, 0.4409811, -0.13178095, -1.22566593
-1.96602183, -1.23952606, 0.48229983, -0.02273967, -1.18312894, -1.43558573
-2.09069367, -1.07935149, -0.04783134, -0.62743591, 0.85896876, -1.40610801
-1.30576913, -0.87486592, -0.63250631, -0.62264169, 1.75006939, -1.58565427
-0.6989322, -0.80249447, -1.00567968, -0.80386757, 1.47466327, -1.86323265
-0.10810304, -0.65531366, -1.02966868, -1.00806996, 2.25808449, -1.71293445
